id,canal,categoria,produto,sentimento,urgencia,resumo,nivel_risco,necessita_escalacao_imediata,bloqueado_seguranca,motivo_bloqueio
REC-2026-00146,Banco Central,Cobrança Indevida,Empréstimo,Crítico,Crítica,"Cliente relata discrepância na taxa de juros aplicada ao empréstimo (contratado 1,99% a.m., cobrado 2,4% a.m. na segunda parcela). Já registrou reclamação no Banco Central e plataforma de avaliações. Ameaça ação judicial caso não haja resolução em 48h.",Crítico,True,False,
REC-2026-00185,Ouvidoria,Cobrança Indevida,Investimentos,Crítico,Crítica,"Cliente reclamando de cobrança de taxa de performance não mencionada no momento da contratação de fundo de investimento. Alegação de vulnerabilidade financeira extrema, utilização de reserva de emergência e menção a registro junto ao Banco Central. Requer resposta com protocolo sensível de atendimento.",Crítico,True,False,
REC-2026-00566,Redes Sociais,Cobrança Indevida,Cartão de Crédito,Crítico,Alta,"Cliente relata falha no processamento de cancelamento de cartão de crédito solicitado há três meses. Cobrada anuidade após solicitação de cancelamento confirmada, com múltiplos protocolos abertos. Demanda estorno da anuidade indevida e efetivação definitiva do cancelamento.",Alto,False,False,
REC-2026-00246,SAC,Atendimento,Conta Corrente,Crítico,Alta,"Cliente relata experiência negativa no atendimento ao tentar esclarecer dúvida sobre tarifa de conta corrente. Transferências múltiplas sem registro de informações, necessidade de repetição de dados e resolução insatisfatória (direcionamento a ligar outro dia) geraram frustração extrema e questionamento sobre qualidade do serviço.",Médio,False,False,
REC-2026-00509,SAC,Cobrança Indevida,Seguros,Crítico,Crítica,"Cliente relata cobrança de reajuste de seguro de vida (R$ 1.240,00) sem aviso prévio de 30 dias conforme contratualmente obrigado, resultando em débito indevido. Menaciona escalação para Banco Central caso não haja resolução imediata.",Crítico,True,False,
REC-2026-00406,Banco Central,Atendimento,Não Identificado,Crítico,Crítica,"Cliente relata dificuldades severas no acesso a atendimento: múltiplas tentativas de contato por telefone com desconexões, falha no redirecionamento via chat do aplicativo e superlotação presencial. Situação crítica com manifestação de vulnerabilidade emocional e insatisfação extrema.",Crítico,True,False,
REC-2026-00632,Ouvidoria,Fraude/Segurança,Seguros,Crítico,Crítica,"Cliente relata acesso não autorizado à conta e alteração de dados de apólice de seguro residencial, com cobrança de valores adicionais. Múltiplas tentativas de resolução sem sucesso há duas semanas. Menção a possível vazamento de dados com tom de ameaça.",Crítico,True,False,
REC-2026-00253,Banco Central,Fraude/Segurança,Cartão de Crédito,Crítico,Crítica,Solicitação de dados pessoais de clientes alegando investigação de fraude. Requer validação de identidade e autoridade competente conforme protocolos LGPD e conformidade regulatória antes de qualquer compartilhamento de informações.,Crítico,True,False,
REC-2026-00480,Ouvidoria,Produto/Serviço,Conta Corrente,Negativo,Alta,"Cliente relata impossibilidade de realizar transferências via Pix na conta corrente após atualização do aplicativo. O erro persiste em múltiplos canais (app e internet banking), causando impacto nas operações financeiras diárias do cliente. Requer verificação técnica urgente e normalização do serviço.",Médio,True,False,
REC-2026-00457,Ouvidoria,Cobrança Indevida,Empréstimo,Crítico,Crítica,"Cliente relata discrepância entre valor de parcela acordado (R$ 612,00) e cobrado (R$ 697,00) desde a primeira parcela. Adicionalmente, foram cobrados juros por atraso de parcela quitada pontualmente, apesar de apresentação de comprovante. Múltiplas tentativas de contato sem resolução. Cliente apresenta vulnerabilidade financeira e emocional extrema (risco de inscrição em registros de restrição creditícia, impacto na vida pessoal).",Crítico,True,False,
